nome_municipio,produtividade_kg_ha,valor_por_hectare
Esperantina,7.45924806099645,0.28415460759826472
Massapê do Piauí,0.19525275598371239,0.28294766113814679
Domingos Mourão,2.1069370822770224,0.28096999308596449
Barreiras do Piauí,0.2089041095890411,0.28082191780821919
Novo Oriente do Piauí,0.49865120043161587,0.28055531427029945
Santo Antônio dos Milagres,0.23922413793103448,0.28017241379310343
São Luis do Piauí,0.1728538283062645,0.27494199535962877
Prata do Piauí,0.21365638766519823,0.27092643171806169
Santo Antônio de Lisboa,1.678371515356992,0.27069246438381755
Demerval Lobão,3.9532833847509918,0.26550044072278534
Palmeirais,9.4991529473089784,0.26485163111941268
São José do Piauí,2.7564608096224221,0.26238776772290151
Monsenhor Hipólito,0.81571006150688841,0.26057927952543153
Monsenhor Gil,3.528169014084507,0.25954484713156994
União,3.5832034294621979,0.25570292283710055
Campo Grande do Piauí,0.16890855193576737,0.25365330473253789
Alto Longá,1.8497142453961759,0.25281823890496019
Angical do Piauí,2.1195611048051455,0.25241581536133184
Dom Expedito Lopes,0.90971909633937154,0.25159953284103215
Pavussu,0.18514219384793965,0.24840394660475915
Sussuapara,0.17932922655715264,0.24229979466119098
Beneditinos,4.569060773480663,0.23732470017517851
Cristino Castro,0.20402684563758389,0.23704697986577181
Queimada Nova,0.16783216783216784,0.23076923076923078
Luís Correia,6.3248730347726774,0.22806165771632686
Lagoa do Sítio,0.1730108971488282,0.22784495198288301
São Miguel do Fidalgo,0.21689785624211855,0.2244640605296343
São Félix do Piauí,0.19361277445109781,0.22223825681969397
Eliseu Martins,9.1843738590726538,0.21905980284775464
Pio IX,4.6352129321924966,0.21877947803360978
Francisco Macedo,0.20909090909090908,0.21818181818181817
Monte Alegre do Piauí,0.30025284450063211,0.21713021491782553
Bela Vista do Piauí,0.25714285714285712,0.21428571428571427
Ipiranga do Piauí,0.37865385061874579,0.21330524250655894
São João da Varjota,0.18539531478770133,0.21193265007320644
Piripiri,2.6077486328668087,0.21161945036611365
Ribeira do Piauí,0.14929577464788732,0.21126760563380281
Porto,4.1357142857142861,0.21025952380952384
Passagem Franca do Piauí,0.2028409090909091,0.20998175189393939
Manoel Emídio,6.0856662380057376,0.20572174300128596
Jaicós,3.55586731459962,0.20468256074371433
Francisco Santos,0.67081189609737735,0.20119025222738113
Brejo do Piauí,0.15052041633306645,0.20096076861489193
Tamboril do Piauí,0.18874172185430463,0.20033112582781457
Altos,2.875724968083166,0.19817198613897502
Corrente,0.23469387755102042,0.19795918367346937
Marcolândia,0.17829457364341086,0.19652609819121447
Flores do Piauí,1.0003506311360448,0.19274440743338009
Assunção do Piauí,0.15117958594126144,0.1921039961482908
Bocaina,0.17741343447938335,0.18942195032423834
São João da Canabrava,0.16102432778489117,0.1892253982074264
Brasileira,0.166805734658272,0.18795224910870059
Valença do Piauí,2.2743295019157088,0.18568198314176246
Caridade do Piauí,0.18279569892473119,0.18279569892473119
Pimenteiras,0.97647058823529409,0.1797452711397059
