ano,sigla_uf,produto,area_colhida_ha,producao_total,produtividade_media,valor_total_producao
2020,SE,Castanha de caju,,,,
2020,SP,Caju,,,,
2020,SP,Castanha de caju,,,,
2020,TO,Caju,,,,
2020,TO,Castanha de caju,10,10.0,916.75,17.0
2019,AC,Caju,,,,
2019,AC,Castanha de caju,,,,
2019,AL,Caju,,,,
2019,AL,Castanha de caju,633,362.0,651.63414634146352,887.0
2019,AM,Caju,,,,
2019,AM,Castanha de caju,,,,
2019,AP,Caju,,,,
2019,AP,Castanha de caju,,,,
2019,BA,Caju,,,,
2019,BA,Castanha de caju,15428,2438.0,282.2115384615384,7882.0
2019,CE,Caju,,,,
2019,CE,Castanha de caju,269819,87659.0,271.09803921568624,256400.0
2019,DF,Caju,,,,
2019,DF,Castanha de caju,,,,
2019,ES,Caju,,,,
2019,ES,Castanha de caju,,,,
2019,GO,Caju,,,,
2019,GO,Castanha de caju,,,,
2019,MA,Caju,,,,
2019,MA,Castanha de caju,12550,3946.0,349.8214285714285,6833.0
2019,MG,Caju,,,,
2019,MG,Castanha de caju,,,,
2019,MS,Caju,,,,
2019,MS,Castanha de caju,,,,
2019,MT,Caju,,,,
2019,MT,Castanha de caju,150,80.0,533.0,160.0
2019,PA,Caju,,,,
2019,PA,Castanha de caju,1153,800.0,790.5,1800.0
2019,PB,Caju,,,,
2019,PB,Castanha de caju,3406,868.0,258.86486486486478,2131.0
2019,PE,Caju,,,,
2019,PE,Castanha de caju,2377,3942.0,743.04545454545462,8293.0
2019,PI,Caju,,,,
2019,PI,Castanha de caju,69380,21631.0,282.64327485380124,52679.0
2019,PR,Caju,,,,
2019,PR,Castanha de caju,,,,
2019,RJ,Caju,,,,
2019,RJ,Castanha de caju,,,,
2019,RN,Caju,,,,
2019,RN,Castanha de caju,51397,16862.0,349.37777777777779,48829.0
2019,RO,Caju,,,,
2019,RO,Castanha de caju,,,,
2019,RR,Caju,,,,
2019,RR,Castanha de caju,,,,
2019,RS,Caju,,,,
2019,RS,Castanha de caju,,,,
2019,SC,Caju,,,,
2019,SC,Castanha de caju,,,,
2019,SE,Caju,,,,
2019,SE,Castanha de caju,,,,
2019,SP,Caju,,,,
2019,SP,Castanha de caju,,,,
2019,TO,Caju,,,,
2019,TO,Castanha de caju,9,9.0,889.0,39.0
2018,AC,Caju,,,,
2018,AC,Castanha de caju,,,,
2018,AL,Caju,,,,
2018,AL,Castanha de caju,1067,697.0,725.73999999999978,1659.0
2018,AM,Caju,,,,
2018,AM,Castanha de caju,,,,
2018,AP,Caju,,,,
2018,AP,Castanha de caju,,,,
2018,BA,Caju,,,,
2018,BA,Castanha de caju,15067,2011.0,264.34615384615381,6725.0
2018,CE,Caju,,,,
2018,CE,Castanha de caju,272755,83036.0,264.36363636363632,243999.0
2018,DF,Caju,,,,
2018,DF,Castanha de caju,,,,
2018,ES,Caju,,,,
2018,ES,Castanha de caju,,,,
2018,GO,Caju,,,,
2018,GO,Castanha de caju,,,,
2018,MA,Caju,,,,
2018,MA,Castanha de caju,14129,5966.0,401.00000000000006,10085.0
2018,MG,Caju,,,,
2018,MG,Castanha de caju,,,,
2018,MS,Caju,,,,
2018,MS,Castanha de caju,,,,
2018,MT,Caju,,,,
2018,MT,Castanha de caju,165,97.0,500.0,194.0
2018,PA,Caju,,,,
2018,PA,Castanha de caju,1835,1819.0,989.23076923076928,3719.0
2018,PB,Caju,,,,
2018,PB,Castanha de caju,3460,864.0,255.97368421052624,1982.0
2018,PE,Caju,,,,
2018,PE,Castanha de caju,2351,4018.0,762.608695652174,8567.0
2018,PI,Caju,,,,
2018,PI,Castanha de caju,75403,24885.0,317.14054054054037,63391.0
2018,PR,Caju,,,,
2018,PR,Castanha de caju,,,,
2018,RJ,Caju,,,,
2018,RJ,Castanha de caju,,,,
2018,RN,Caju,,,,
2018,RN,Castanha de caju,52852,17986.0,393.55223880597026,43394.0
