ano,sigla_uf,produto,producao_por_hectare,valor_por_hectare
2016,AL,Castanha de caju,0.54695222405271826,1.0609555189456343
2016,BA,Castanha de caju,0.1312711304550577,0.40434461586289977
2016,CE,Castanha de caju,0.0823498752838688,0.31672047099618672
2016,MA,Castanha de caju,0.36235892069661407,0.43224456237386949
2016,MT,Castanha de caju,0.56140350877192979,1.128654970760234
2016,PA,Castanha de caju,0.62247094274644854,1.5053809728798966
2016,PB,Castanha de caju,0.22708860759493671,0.50253164556962027
2016,PE,Castanha de caju,0.85420340975896536,1.8054085831863609
2016,PI,Castanha de caju,0.14124136886353023,0.44070235675784852
2016,RN,Castanha de caju,0.2924069782412772,0.81184820393974511
2016,TO,Castanha de caju,1.1666666666666667,0.83333333333333337
2015,AL,Castanha de caju,0.52129471890971035,0.88841567291311752
